investor_name,investor_type,stage_fit,geo_fit,thesis_fit,why_fit,priority,status,source_link,notes,next_step
Angel 01,angel,pre-seed,Africa/Middle East,vertical AI + B2B ops,Operator or angel with CRM or workflow background,1,to research,,,
Angel 02,angel,pre-seed,Africa/Middle East,vertical AI + B2B ops,Operator or angel with distribution or wholesale exposure,1,to research,,,
Angel 03,angel,pre-seed,Africa/Middle East,vertical AI + B2B ops,Strong warm-intro candidate,1,to research,,,
Angel 04,angel,pre-seed,Africa/Middle East,vertical AI + B2B ops,Strong warm-intro candidate,1,to research,,,
Angel 05,angel,pre-seed,Africa/Middle East,vertical AI + B2B ops,Strong warm-intro candidate,1,to research,,,
Angel 06,angel,pre-seed,Global,vertical AI + SaaS,Operator angel familiar with early B2B software,1,to research,,,
Angel 07,angel,pre-seed,Global,vertical AI + SaaS,Operator angel familiar with revenue workflows,1,to research,,,
Angel 08,angel,pre-seed,Global,vertical AI + SaaS,Operator angel familiar with messaging-led sales,1,to research,,,
Angel 09,angel,pre-seed,Global,vertical AI + SaaS,Potential design-partner intro source,1,to research,,,
Angel 10,angel,pre-seed,Global,vertical AI + SaaS,Potential design-partner intro source,1,to research,,,
Micro VC 01,micro_vc,pre-seed,Global,vertical AI,Interested in systems of action and workflow software,2,to research,,,
Micro VC 02,micro_vc,pre-seed,Global,vertical AI,Interested in narrow workflow wedges,2,to research,,,
Micro VC 03,micro_vc,pre-seed,Global,B2B SaaS + AI,Helpful if they like founder-led GTM and design-partner proof,2,to research,,,
Micro VC 04,micro_vc,pre-seed,Global,B2B SaaS + AI,Helpful if they invest before strong revenue,2,to research,,,
Micro VC 05,micro_vc,pre-seed,Global,B2B SaaS + AI,Helpful if they understand CRM and workflow history,2,to research,,,
Micro VC 06,micro_vc,pre-seed,Africa/Middle East,regional B2B software,Regional distribution and customer-intro value,2,to research,,,
Micro VC 07,micro_vc,pre-seed,Africa/Middle East,regional B2B software,Regional distribution and customer-intro value,2,to research,,,
Micro VC 08,micro_vc,pre-seed,Africa/Middle East,regional B2B software,Regional distribution and customer-intro value,2,to research,,,
Micro VC 09,micro_vc,pre-seed,Africa/Middle East,regional B2B software,Regional distribution and customer-intro value,2,to research,,,
Micro VC 10,micro_vc,pre-seed,Africa/Middle East,regional B2B software,Regional distribution and customer-intro value,2,to research,,,
VC Later 01,institutional_seed,seed,Global,vertical AI,Approach after first proof package is ready,3,wait,,,
VC Later 02,institutional_seed,seed,Global,vertical AI,Approach after first proof package is ready,3,wait,,,
VC Later 03,institutional_seed,seed,Global,vertical AI,Approach after first proof package is ready,3,wait,,,
VC Later 04,institutional_seed,seed,Global,vertical AI,Approach after first proof package is ready,3,wait,,,
VC Later 05,institutional_seed,seed,Global,vertical AI,Approach after first proof package is ready,3,wait,,,
VC Later 06,institutional_seed,seed,Global,vertical AI,Approach after first proof package is ready,3,wait,,,
VC Later 07,institutional_seed,seed,Global,vertical AI,Approach after first proof package is ready,3,wait,,,
VC Later 08,institutional_seed,seed,Global,vertical AI,Approach after first proof package is ready,3,wait,,,
VC Later 09,institutional_seed,seed,Global,vertical AI,Approach after first proof package is ready,3,wait,,,
VC Later 10,institutional_seed,seed,Global,vertical AI,Approach after first proof package is ready,3,wait,,,
Partner Intro 01,operator,pre-seed,Africa/Middle East,distribution ops,Potential design-partner intro source,1,to research,,,
Partner Intro 02,operator,pre-seed,Africa/Middle East,distribution ops,Potential design-partner intro source,1,to research,,,
Partner Intro 03,operator,pre-seed,Africa/Middle East,distribution ops,Potential design-partner intro source,1,to research,,,
Partner Intro 04,operator,pre-seed,Africa/Middle East,distribution ops,Potential design-partner intro source,1,to research,,,
Partner Intro 05,operator,pre-seed,Africa/Middle East,distribution ops,Potential design-partner intro source,1,to research,,,
Partner Intro 06,operator,pre-seed,Global,distribution ops,Potential design-partner intro source,1,to research,,,
Partner Intro 07,operator,pre-seed,Global,distribution ops,Potential design-partner intro source,1,to research,,,
Partner Intro 08,operator,pre-seed,Global,distribution ops,Potential design-partner intro source,1,to research,,,
Partner Intro 09,operator,pre-seed,Global,distribution ops,Potential design-partner intro source,1,to research,,,
Partner Intro 10,operator,pre-seed,Global,distribution ops,Potential design-partner intro source,1,to research,,,
Advisor 01,advisor,pre-seed,Global,CRM or workflow software,Can sharpen pitch and make introductions,1,to research,,,
Advisor 02,advisor,pre-seed,Global,CRM or workflow software,Can sharpen pitch and make introductions,1,to research,,,
Advisor 03,advisor,pre-seed,Global,CRM or workflow software,Can sharpen pitch and make introductions,1,to research,,,
Advisor 04,advisor,pre-seed,Global,CRM or workflow software,Can sharpen pitch and make introductions,1,to research,,,
Advisor 05,advisor,pre-seed,Global,CRM or workflow software,Can sharpen pitch and make introductions,1,to research,,,
Customer Candidate 01,design_partner,pre-seed,Africa/Middle East,distribution or wholesale,Potential proof partner before investor process,1,to research,,,
Customer Candidate 02,design_partner,pre-seed,Africa/Middle East,distribution or wholesale,Potential proof partner before investor process,1,to research,,,
Customer Candidate 03,design_partner,pre-seed,Africa/Middle East,distribution or wholesale,Potential proof partner before investor process,1,to research,,,
Customer Candidate 04,design_partner,pre-seed,Africa/Middle East,distribution or wholesale,Potential proof partner before investor process,1,to research,,,
Customer Candidate 05,design_partner,pre-seed,Africa/Middle East,distribution or wholesale,Potential proof partner before investor process,1,to research,,,
